id,filename,url,points
#########
# germany big cities up to 20k inhabitants
#########
Remscheid,,https://data.whosonfirst.org/101/748/651/101748651.geojson
Trier,,https://data.whosonfirst.org/101/748/559/101748559.geojson
Salzgitter,,https://data.whosonfirst.org/101/748/779/101748779.geojson
Moers,,https://data.whosonfirst.org/101/748/759/101748759.geojson
Siegen,,https://data.whosonfirst.org/101/748/643/101748643.geojson
Hildesheim,,https://data.whosonfirst.org/101/748/791/101748791.geojson
Cottbus,,https://data.whosonfirst.org/101/748/763/101748763.geojson
Gütersloh,guetersloh.json,https://data.whosonfirst.org/101/748/773/101748773.geojson
Kaiserslautern,,https://data.whosonfirst.org/101/748/541/101748541.geojson
Witten,,https://data.whosonfirst.org/101/748/697/101748697.geojson
Hanau,,https://data.whosonfirst.org/101/748/583/101748583.geojson
Schwerin,,https://data.whosonfirst.org/101/748/851/101748851.geojson
Gera,,https://data.whosonfirst.org/101/748/611/101748611.geojson
Esslingen am Neckar,esslingen_am_neckar.json,https://data.whosonfirst.org/101/748/503/101748503.geojson
Ludwigsburg,,https://data.whosonfirst.org/101/748/521/101748521.geojson
Iserlohn,,https://data.whosonfirst.org/101/748/695/101748695.geojson
Düren,dueren.json,https://data.whosonfirst.org/101/748/629/101748629.geojson
Tübingen,tuebingen.json,https://data.whosonfirst.org/101/748/493/101748493.geojson
Zwickau,,https://data.whosonfirst.org/101/748/603/101748603.geojson
Flensburg,,https://data.whosonfirst.org/101/906/421/101906421.geojson,54.784991|9.438526
Gießen,giessen.json,https://data.whosonfirst.org/101/907/521/101907521.geojson
Ratingen,,https://data.whosonfirst.org/101/914/235/101914235.geojson
Lünen,luenen.json,https://data.whosonfirst.org/101/748/737/101748737.geojson
Villingen-Schwenningen,,https://data.whosonfirst.org/101/748/477/101748477.geojson
Konstanz,,https://data.whosonfirst.org/101/748/473/101748473.geojson
Marl,,https://data.whosonfirst.org/101/748/743/101748743.geojson
Worms,,https://data.whosonfirst.org/101/906/801/101906801.geojson,49.649434|8.324514
